Source, Target,Type,Id,Label,timeset,Weight
0,1,Unidirected,0,,,9
0,2,Unidirected,1,,,182
0,3,Unidirected,2,,,61
0,4,Unidirected,3,,,5
0,5,Unidirected,4,,,5
0,6,Unidirected,5,,,1
0,7,Unidirected,6,,,4
0,8,Unidirected,7,,,1
0,9,Unidirected,8,,,2
0,10,Unidirected,9,,,128
0,11,Unidirected,10,,,16
0,12,Unidirected,11,,,1
0,13,Unidirected,12,,,51
0,14,Unidirected,13,,,6
0,15,Unidirected,14,,,14
0,16,Unidirected,15,,,2
0,17,Unidirected,16,,,1
0,18,Unidirected,17,,,21
0,19,Unidirected,18,,,1
0,20,Unidirected,19,,,27
0,21,Unidirected,20,,,94
0,22,Unidirected,21,,,10
0,23,Unidirected,22,,,56
0,24,Unidirected,23,,,1
0,25,Unidirected,24,,,66
0,26,Unidirected,25,,,240
0,27,Unidirected,26,,,52
0,28,Unidirected,27,,,3
0,29,Unidirected,28,,,1
0,30,Unidirected,29,,,1
0,31,Unidirected,30,,,1
0,32,Unidirected,31,,,14
0,33,Unidirected,32,,,2
0,34,Unidirected,33,,,1
0,35,Unidirected,34,,,1
0,36,Unidirected,35,,,2
0,37,Unidirected,36,,,2
0,38,Unidirected,37,,,1
0,39,Unidirected,38,,,1
0,40,Unidirected,39,,,2
0,41,Unidirected,40,,,3
0,42,Unidirected,41,,,1
0,43,Unidirected,42,,,2
0,44,Unidirected,43,,,1
0,45,Unidirected,44,,,2
0,46,Unidirected,45,,,2
0,47,Unidirected,46,,,2
0,48,Unidirected,47,,,1
0,49,Unidirected,48,,,1
0,50,Unidirected,49,,,1
0,51,Unidirected,50,,,5
0,52,Unidirected,51,,,3
0,53,Unidirected,52,,,90
0,54,Unidirected,53,,,91
0,55,Unidirected,54,,,50
0,56,Unidirected,55,,,36
0,57,Unidirected,56,,,15
0,58,Unidirected,57,,,4
0,59,Unidirected,58,,,1
0,60,Unidirected,59,,,11
0,61,Unidirected,60,,,3
0,62,Unidirected,61,,,4
0,63,Unidirected,62,,,1
0,64,Unidirected,63,,,1
0,65,Unidirected,64,,,1
0,66,Unidirected,65,,,2
0,67,Unidirected,66,,,2
0,68,Unidirected,67,,,5
0,69,Unidirected,68,,,2
0,70,Unidirected,69,,,20
0,71,Unidirected,70,,,1
0,72,Unidirected,71,,,9
0,73,Unidirected,72,,,4
0,74,Unidirected,73,,,1
0,75,Unidirected,74,,,9
0,76,Unidirected,75,,,1
0,77,Unidirected,76,,,1
0,78,Unidirected,77,,,1
0,79,Unidirected,78,,,1
0,80,Unidirected,79,,,1
0,81,Unidirected,80,,,7
0,82,Unidirected,81,,,1
0,83,Unidirected,82,,,1
0,84,Unidirected,83,,,20
0,85,Unidirected,84,,,1
0,86,Unidirected,85,,,6
0,87,Unidirected,86,,,1
0,88,Unidirected,87,,,12
0,89,Unidirected,88,,,2
0,90,Unidirected,89,,,3
0,91,Unidirected,90,,,1
0,92,Unidirected,91,,,1
0,93,Unidirected,92,,,1
0,94,Unidirected,93,,,11
0,95,Unidirected,94,,,3
0,96,Unidirected,95,,,4
0,97,Unidirected,96,,,39
0,98,Unidirected,97,,,1
0,99,Unidirected,98,,,1
0,100,Unidirected,99,,,2
0,101,Unidirected,100,,,4
0,102,Unidirected,101,,,2
0,103,Unidirected,102,,,1
0,104,Unidirected,103,,,1
0,105,Unidirected,104,,,3
0,106,Unidirected,105,,,3
0,107,Unidirected,106,,,1
0,108,Unidirected,107,,,8
0,109,Unidirected,108,,,2
0,110,Unidirected,109,,,2
0,111,Unidirected,110,,,1
0,112,Unidirected,111,,,50
0,113,Unidirected,112,,,1
0,114,Unidirected,113,,,3
0,115,Unidirected,114,,,32
0,116,Unidirected,115,,,6
0,117,Unidirected,116,,,2
0,118,Unidirected,117,,,1
0,119,Unidirected,118,,,5
0,120,Unidirected,119,,,2
0,121,Unidirected,120,,,10
0,122,Unidirected,121,,,12
